TITLE,CATEGORY,TARGET
Uptrend Pauses For A Breather,b,2
PM Gruevski visits China,b,2
Doctors to parents: Start reading to kids early and often,m,3
Yahoo reportedly eyes push into original video programming,e,0
Twitter Unveils Mobile App Install Ads,t,1
Galaxy Tabs On Sale In Malaysia From July 11,t,1
First Trailer For Michael Bay's Teenage Mutant Ninja Turtles Live-Action Film  ...,e,0
The Ronald McDonald Make-Over; Yay or Nay?,b,2
Don't let Big Tobacco hook a new generation on nicotine with alluring ads for e  ...,m,3
Zac Efron punched in the mouth during downtown Los Angeles fight with transients,e,0
Report: NSA Has Plans To Infect “Millions” Of Computers With Malware,t,1
"From birth, US pediatricians urge reading aloud to children",m,3
Bank of England names two new deputy governors,b,2
AstraZeneca's Early-Stage Trials of Experimental Cancer Drug are Encouraging,m,3
Interest rates to go up sooner than markets expect,b,2
Saskatoon relay fights cancer into the sunrise,m,3
"EUR/JPY Fundamental Analysis April 2, 2014 Forecast",b,2
"Friday declared ""Donate Life"" Day in Rochester",m,3
"5 Things About Karen Gillan, the Scot Who Will Conquer Hollywood",e,0
People with longevity gene variant turn out to be smarter than peers,m,3
Cambridge University artificial pancreas technology a success in long-term trial,m,3
Pending Home Sales Show Great Outperformance,b,2
Medical students matched with residency programs,m,3
Researchers Create Thinnest Wire You can Imagine,t,1
Shailene Woodley Arrives Shoeless At 'The Fault In Our Stars' Premiere,e,0
UAE to send first Arab spaceship to Mars,t,1
Nepal to get polio-free status today,m,3
Captain America sets weekend box office record with $ 96.2m earnings,e,0
JJ Abrams thanks Star Wars VII cast in handwritten note,e,0
"'American Idol' eliminates another female contestant, determines Top 8 finalists",e,0
Georgia Firm Recalls Chicken Breast Tenders Products,m,3
Govt races against time in MERS-CoV tracking,m,3
Facebook wants to help you meet friends offline,t,1
Jimmy Page 'fed up' with Robert Plant's refusal to reunite Led Zeppelin,e,0
A New 'Power Rangers' Live Action Film is Coming,e,0
Roku Start Shipping Streaming Stick,t,1
"Taxis, planes and viruses: How deadly Ebola can spread",m,3
"Study: Stop Being So Cynical, You Could Give Yourself Dementia",m,3
Washington state issues first pot-shop licences in middle-of-the-night emails,b,2
Miley Cyrus fan arrested after sneaking into her backstage area,e,0
GM announces it will recall an additional 1.5M vehicles,b,2
Almost blind Michigan man 'seeing something new every day' thanks to high  ...,m,3
Home Television “Mad Men” Scores Lower Premiere Ratings than Usual As  ...,e,0
Ed Sheeran And Seth Rogen Star In Funny SNL Promo Video,e,0
"France's Godard at 83 screens a 3D ""Adieu"" at Cannes",e,0
GC Speaks: Chocolate Bunnies or Peeps?,e,0
Merkel To Samaras: Show Me The Surplus,b,2
Amazon's offer to unhappy warehouse workers: Up to $5K to quit,b,2
Students falsely treat e-cigs as an exception to smoking policies,m,3
"California chicken linked to salmonella recalled in Washington, 8 other states",m,3
'Fifty Shades of Grey' Releases First Movie Still of Jamie Dornan,e,0
"Microsoft Surface Pro 3, Surface Mini to release May 20; Tablets to take on iPad  ...",t,1
Leaked: Images Of Sony's Xperia C3 'Selfie Phone',t,1
"iPhone 6 Blueprints Leak, 4.7 inch and 5. inch Displays Portrayed",t,1
"Lenovo announces N20p Chromebook with touchscreen, flexible display",t,1
"iPhone 6 design leaked, looks unchanged",t,1
Colonoscopy's Margin of Error,m,3
Ivan Reitman Will Not Direct GHOSTBUSTERS 3,e,0
The Voice USA Season 6 'The Battles' Round 2 Recap - Live Blog 3/31/14,e,0
"Hospitals performing too many unnecessary C-sections, Consumer Reports finds",m,3
Evolutionary advances in new smart wristwatches,t,1
Twitter adds photo tags and collages,t,1
UPDATE 1-Egypt probing suspected MERS coronavirus death,m,3
E-Cigarettes to Fall Under FDA Review as Popularity Grows,m,3
"Smell test could help spot Alzheimer's early, researchers say",m,3
Amy Adams rides coach after giving soldier her first-class seat,e,0
Crowd attacks Ebola treatment center,m,3
AAA says crisis in Iraq a factor in gas price increase,t,1
New Earth-like planet discovered that could support life,t,1
"Amazon Unveils Amazon Music, a New Ad-Free Streaming Service",e,0
"Alaska to offer pregnancy tests in bathroom bars, restaurants",m,3
T-Mobile Circuit Breaker On French Buyout,t,1
"4200 NY hospital patients face possible hepatitis, HIV exposure",m,3
"Kellogg to change 'All Natural' labeling, pay $5 million in Kashi/Bear Naked  ...",b,2
Pamela Anderson reveals sex abuse,e,0
GoT finishes on a ratings high,e,0
Rosenworcel: Delay Vote On Net Neutrality Rules,t,1
Health Department: Sarasota County bacterial death not from 'flesh eating',m,3
Air Products & Chemicals appoints Seifi Ghasemi as it's chief executive,b,2
"JD.com Inc. manages to raise 1.78 billion dollars in IPO, prices above expectations",b,2
Bullying Negative Effects stay even after 40 yrs,m,3
Got a problem with Thor being a woman? Did you know he used to be a frog?,e,0
Sugary drink warning label effort fails,m,3
Oyster Announces Growth of ebook Catalog To More Than Half A Million Titles,t,1
Nokia scrambling to settle Chennai plant issue as Microsoft deal almost finalised,t,1
"Court official says Cornelius Gurlitt, German collector who hoarded huge art  ...",e,0
"Antarctic winds likely to accelerate sea level rise, researchers say",t,1
"After ticket controversary, Cleveland Critical Mass gets permit, police escort",t,1
"Chinese Families Demand Answers, Evidence From Malaysia Over MH370",b,2
Kim Kardashian and Kanye West enjoy secret date nights at home,e,0
Google: This Oracle Lawsuit Could Damage The Whole Software Industry,t,1
"Red Lobster Sells For $2.1B, Future Unclear",b,2
Earthquakes triggered by fracking wastewater in Oklahoma,b,2
"AstraZeneca Gonorrhoea Drug Fast-Tracked By FDA, Updates On Pipeline",m,3
US navy hands over runaway oil tanker to Libya,b,2
Microsoft Wants You to Replace Your Laptop With This,t,1
Sen. Bill Nelson stands with Mr. Awesome before talking about sea level rise,m,3
"In a first, black hole trio discovery may explain Einstein's theory",t,1
"Thursday, July 3: Today in Gold and Silver",b,2
Met Ball 2014: See Kendall Jenner and Lily Aldridge get their make-up done,e,0
Ebola Virus Disease in West Africa: 158 New Cases,m,3
Sarepta Therapeutic Stock Rating Upgraded by William Blair (SRPT),m,3
Motörhead's Fan Develops Blood Clot in Brain Due to Headbanging,m,3
Exec gives Aereo 50-50 odds at Supreme Court,e,0
"Software sales up almost 5 percent in 2013, new data shows",b,2
Comcast Presses Case for Tie-Up with Time Warner Cable,t,1
Yahoo is stumbling in its pursuit of growth,t,1
Disney week inspires perfect score on 'Dancing',e,0
"US jury hits Takeda, Eli Lilly with $9B penalty - WNCN: News, Weather for  ...",b,2
TSX pointed downward at open,b,2
Ebola quarantine units open in Guinea,m,3
"At 3540 calories, most 'Xtreme' restaurant meal is a 'monster'",m,3
'I thought I was too young to have Alzheimer's and only OAPs got it',m,3
David Fincher Departs From Directing Steve Jobs Biopic,e,0
Cameron enlists ex-Goldman economist in global superbug fight,m,3
"Bachelorette 2014 Eliminated Marcus Grodd Tonight In Episode 9,July 7th",e,0
Andrew Garfield does drag in Arcade Fire video,e,0
"Syphilis Rates Are Up in the US, Especially in Men",m,3
Supreme Court justices have their heads in the cloud(s),e,0
Forex - Euro gives up gains after ECB hints at action in June,b,2
Cautious start for Asian shares,b,2
New Saturday Service Begins This Weekend At Brainerd Baptist,e,0
Nokia boss Elop to answer your questions on Monday,t,1
"Report: Will Smith, Jada Pinkett Smith Being Investigated By CPS",e,0
"Google's Nest Thermostat talks to your car, washing machine",t,1
Using tax credits to pay premiums gets complicated,b,2
Amazon's New Gadget Makes Grocery Shopping,t,1
Fed chief: GOP plan would be 'grave mistake',b,2
Paul Walker's Brothers Will Step In To Finish 'Fast & Furious 7' Scenes,e,0
Scale of Ebola Epidemic 'Unprecedented',m,3
Rescued Baby Goat Learns to Walk Using a Wheelcart,m,3
Northwest Attorneys General Sue Energy Drink Maker,b,2
Large Swath of West Antarctic Ice Sheet is Bidding Goodbye,t,1
Pop star Katy Perry launches record label through Capitol,e,0
"Lindsay Lohan's mom, Dina Lohan, pleads guilty to DWI in New York",e,0
How much is Target paying CEO Gregg Steinhafel to leave?,b,2
Mobile Internet shakes up stodgy China industries,b,2
Officials: Second US case of MERS being reported,m,3
"Prince announces not one, but two, new studio albums",e,0
Malaysia Airlines Flight 370: Searchers Come Up Empty Again,b,2
BPA in Urine a Marker for Prostate Cancer,m,3
RX: Pediatricians recommend parents read aloud to children every day from birth,m,3
Miami Heat's Chris Bosh shares Mr. Awesome's message,m,3
Rooney's legacy lives on,e,0
Microsoft revolutionises Skype with real-time translation feature,t,1
Barclays slapped with 26 million pounds fine over gold price fix,b,2
Samsung Galaxy S5 mini vs. HTC One mini 2: Who Will Be 'mini' King?,t,1
Wall Street to open lower on Iraq turmoil,e,0
Yahoo Inc. (NASDAQ:YHOO) Sours on Upgrade with MannKind Corporation  ...,m,3
Cheap Food Fuels Obesity Epidemic,m,3
"State jobless rate up slightly in February, but down from a year ago",b,2
Netflix raises rate... for some of you,t,1
Khloe Kardashian celebrates 30th birthday with yacht party,e,0
"Netflix blasts AT&T fiber network; opposes Comcast, TWC merger",b,2
T-Mobile customers urged to review bills after company accused of making  ...,t,1
Blood Test May Predict Suicide,m,3
US FDA clears pathway for Sarepta's eteplirsen filing by year end,m,3
Moto E: Motorola to launch its 'priced for all' smartphone in India today,t,1
Daniel Radcliffe Cuts Random College Student's Hair on Jimmy Kimmel Live  ...,e,0
7-year-old Josh Hardy to receive drug to treat life-threatening virus,m,3
Consumer Report: Top Sunscreens,m,3
"Nikkei Futures Rise as S&P 500 Gains on Earnings, Ukraine",b,2
Indiana BP refinery spills oil into Lake Michigan,b,2
"Friday Roundup: Jobs, Stocks and Easter Candy",e,0
Lady Thor Is Not Enough: I'm Still Gonna Need That Black Widow Movie,e,0
LG's probably going to announce the G3 and G Watch on May 27th,t,1
Market Hustle: Stocks Turn Higher as Jobless Claims Fall; ECB's Draghi Hints at  ...,b,2
Dig this: Fossil found during bachelor party is 10 million-years-old,t,1
Homeland Security warns against using Internet Explorer until Microsoft fixes  ...,t,1
Emerging Stocks Climb to Six-Month High on China as Rupee Gains,b,2
Marc to pay higher child support,e,0
Tech stocks' rapid descent bringing high-flying companies back to earth,b,2
Honeybee Deaths Most Likely Linked To Common Insecticides Not Global  ...,t,1
Oscar Pistorius Completes Psychiatric Tests. Trial Resumes On Monday,m,3
Transmission problem leads to another GM recall,t,1
See safety scores received by West Michigan hospitals in national evaluation,m,3
Game of Thrones Season Finale Becomes Most Pirated Show in History,e,0
What Are The Pros and Cons of E-Cigarettes?,m,3
High Protein Diet Linked to Lower Stroke Risk,m,3
Paul Walker's Surprising Replacement on Fast & Furious 7,e,0
"Airbus, Safran To Create A 50-50 JV For Space Launchers - Update",b,2
Air pollution killed seven million people in 2012: WHO,m,3
"Minnesota passes medical marijuana law, but few will benefit",m,3
Russell Brand's Ex Katy Perry Confirms She Will Write Songs About John Mayer,e,0
Pfizer reports promising results for cancer drug,m,3
Officials: 2500 could be vaccinated for hepatitis this weekend,m,3
Final Blow: Rocky Musical Set to Close on Broadway,e,0
OSU graduate creation Four Loko moving forward after settlement with state  ...,m,3
The 'Heroes' Fighting Africa's Deadly Virus,m,3
"Why Fiat's CEO saying ""don't buy our electric cars"" makes perfect sense",t,1
US stocks flip between small gains and losses,b,2
Thursday's Mortgage Rates at US Bankcorp Mar 20,b,2
Samsung Launches Two New Tablets In Its Galaxy Tab S Series; Sharp Display  ...,t,1
Handshakes Transfer Germs more than Fist Bumps,m,3
The Amazing Spider-Man 2 Takes Top Spot In Weekend Box Office,e,0
US bonds boosted by Iraq fears; Bunds also rise,b,2
Anita Baker Wanted: Detroit Police Issue Warrant For Singer's Arrest,e,0
How to deal with spring allergies,m,3
Microsoft's CEO may unveil Office for iPad on March 27: source,t,1
First Star Wars Spin Off Lands Godzilla Director and Release Date,e,0
GM recalls 3.2M more cars in US due to ignition switch problems,b,2
Samsung Boasts “New Era” Of Electronics With New Method Of Synthesizing  ...,t,1
Speaking points by Vice-President Olli Rehn on the 2014 Convergence Report,b,2
Health ministry denies any MERS fatalities in Egypt,m,3
"App Watch: Facebook launches Slingshot, a place for disappearing group  ...",t,1
Report: Samsung Is Still Working on a Smartwatch That Is Also a Phone,t,1
"Kristen Bell, Dax Shepard expecting baby No. 2",e,0
"Critics Say 'Guardians Of The Galaxy' Is Great, But Does Anyone Disagree?",e,0
Investigators look into close calls at Newark Airport,b,2
'Once Upon A Time' season 4 spoilers: Queen Elsa casting still on as Anna and  ...,e,0
SA novelist Nadine Gordimer dies,e,0
"Stockpiles of Roche Tamiflu drug are waste of money, review finds",m,3
FCC's new net neutrality proposal is even worse than you think.,t,1
Weekly jobless claims tick up from lowest level since 2007,b,2
"Google profits up, but margins narrow",b,2
E.coli Fears Lead to Huge Ground Beef Recall,m,3
"Study says tau brain protien links to Alzheimer's, discovery could create more  ...",m,3
"Review: 'Best Entry In The Series,' Bryan Singer's 'X-Men: Days of Future Past  ...",e,0
"Neil Young to Start Kickstarter-Funded Music Service, Player",e,0
Android app vulnerabilty puts Chinese users at-risk,t,1
Human-caused global warming may be irreversible says UN report,t,1
SMBC Aviation to Buy $11.8 Billion of Airbus A320 Aircraft,b,2
IKEA boosts pay for employees,b,2
Jonah Hill Throws Homophobic Slur at Paparazzo,e,0
US Airways social media manager speaks out about 'worst tweet of all time',e,0
Amazon Raises Fee for Prime Shipping,b,2
Tamiflu effectiveness unproven in flu fight: study,m,3
Peace Corps Evacuates Hundreds Of Volunteers Amid Ebola Outbreak,m,3
"US judge accepts SAC guilty plea, OK's $1.2 billion deal",b,2
Jim Cramer: Why Zebra Technologies (ZBRA) Will Be Bought After Motorola  ...,b,2
Justin Bieber & Selena Gomez Canoodling At Coachella,e,0
Study: Electronic gadgets can cause rash in people with nickel allergy,m,3
"AT&T, Sprint Accepting Samsung Galaxy S5, Smartwatch Preorders",t,1
Sun Pharma to buy Ranbaxy in USD 3 2 billion deal,b,2
"UK inflation hits new 4-year low in Feb, house prices up sharply",b,2
Local mom pushes for medical marijuana,m,3
Ancient Impact May Have Flipped Our Moon on Its Side,t,1
Why Olive Oil Is So Good For Heart Health,m,3
'Bachelorette' contestant Eric Hill in coma after paragliding accident,e,0
MOVIE REVIEW SPECIAL: A Springtim Mix and Match,e,0
Confusing Mental-Health Intervention and Violence Prevention,m,3
Finally: Alibaba Files for IPO,b,2
"Lindsey Lohan Talks Miscarriage, Sex List On Season Finale Of Reality Show",e,0
"Kristen Stewart, Anne Hathaway, and Brie Larson Dress Up as One of the Dudes  ...",e,0
Samsung Galaxy S Duos 2 vs Nokia Lumia 630 – Top Specs and Price  ...,t,1
U.S. lawmakers introduce bill banning paid Internet 'fast lane',t,1
Microsoft Office Goes Fully Free on iPhone and Android Phones,t,1
Facebook researcher apologizes for emotional response test,t,1
"The Top Three Vy for the Winning Spot on ""The Voice""",e,0
GM's US sales up despite string of recalls,t,1
Bracing for Boulder's 'pollen vortex',m,3
Five minutes of running everyday can help you cheat death for three years,m,3
"Surprise: Lost Stem Cells Naturally Replaced By Non-Stem Cells, Fly Research  ...",m,3
Slide Show: Mother's Day Cartoons,e,0
"'Two and a Half Men' Plans Fake Gay Wedding, GLAAD Reacts",e,0
Officials confirm 5 more cases of mumps at Ohio State,m,3
Study finds 9 of 10 Wikipedia entries on common health conditions inaccurate,m,3
US health secretary resigns after website fiasco,m,3
"If you think your kid is healthy, probably he is obese",m,3
Rare set of twins born holding hands,m,3
Sierra Leone doctor who treated scores of Ebola patients dies of Ebola,m,3
Featured Review: Samsung Gear Live,t,1
Spotify Adds Sleep Playlists While Songza Discovers The Power Of Weather,t,1
Libya MPs oust premier after rebel oil shipment,b,2
"European stocks slide on Iraq, Ukraine uncertainty",b,2
Skin cancer rates on the rise in Canada,m,3
"DiCaprio, Stone and celebs raise $35M for AIDS - CBS 3 Springfield - WSHM",e,0
"Ann B. Davis Net Worth, Heirs: Alice Nelson, Maid from 'The Brady Bunch' Dies",e,0
Home News 900 SIN numbers stolen during Heartbleed breach:...,t,1
"Nigeria 8th worst place to be a mother on Earth, says report",m,3
Breaking: IRS Rules Bitcoin (virtual Currency) Will Be Treated As Property Not  ...,b,2
"Keck, Gemini Assist in Discovery of Earth-Like Planet",t,1
"Details of 9"" HTC Volantis Tablet Surface - To Feature 2.5 GHz Tegra K1 And  ...",t,1
Researchers: Blood Test Can Predict Alzheimer's disease,m,3
TweetDeck Users Urged to Revoke Access & Log Out,t,1
South Korean State Health Insurer Charges Philip Morris for Smoking Damages,m,3
"Ignition Switch Problems May Exist In Fiat Chrysler's Dodge, Chrysler And Jeep  ...",t,1
Largest ever Dinosaur species weighting 100 ton found in Argentina,t,1
Facebook launches new audio recognition feature for its iOS and Android apps,t,1
"'Fed Up,' movie review",e,0
US stocks tumble again,b,2
'Bionic pancreas' improves blood sugar control for people with Type 1 diabetes,m,3
'True Blood' Season 7 Clip Tease (Video),e,0
"Starbucks, Duracell introduce wireless charging across the US",t,1
Bachelorette Andi Dorfman visits contestant Nick Viall in Milwaukee,e,0
National Drug Control Strategy 2014: Charting a Third Way,m,3
'U' Study: Energy Drinks Lead To Other Unhealthy Habits,m,3
Miley Cyrus home burglarized,e,0
Vaginas grown from girls' own cells,m,3
"Ticks, Fleas, Mosquitoes -- Oh My! Protecting Your Dog Against External Parasites",m,3
Ex-Berlusconi minister arrested in Mafia probe,b,2
Lindsay Lohan says miscarriage prompted 'Lindsay' break,e,0
New study says five daily servings of fruit and vegetables isn't enough,m,3
Is Coke Worth More Than Pepsi?,b,2
ANALYSIS-How to fix U.S. biosecurity leaks? Close some labs,m,3
Beats music service sued by former executive amid possible sale to Apple,t,1
Doctors urged to help smokers quit with 'safer' e-cigarettes,m,3
Excavators Dig Up Games Atari Wanted Us to Forget,t,1
The Mad Marathon Known As Upfront Week Begins,e,0
Kagiso PMI declines in March,b,2
"Samsung expects Q1 operating profit of $8B, down 4.3 percent",b,2
'Pollen Vortex' hits Central Virginia,m,3
NASA's space station humanoid Robonaut finally getting legs,t,1
George Clooney's ex Stacy Keibler Marries Jared Pobre,e,0
Pollen season,m,3
Alcoa pledges finished products push as results beat Wall Street,b,2
OKCupid Lied To Its Users To Get Them To Fall In Love,t,1
Dollar General CEO Rick Dreiling to step down,b,2
Climate change deal likely to succeed,t,1
Chikungunya in Cuba: Six imported cases to date,m,3
Asian markets rise as Yellen reaffirms commitment to low rates,b,2
Dating Prince Harry Rehab After Princess Kate Middleton Pregnant Baby Bump  ...,e,0
'Noah' 'rains' at the box office,e,0
“Operation Dry Water” in the Northeast,t,1
"Tech Early Losers: Apple Inc. (NASDAQ:AAPL), Intel Corporation (NASDAQ  ...",b,2
Blood donations needed,m,3
Scientists unscramble the great sperm-egg secret,m,3
Lost sleep could cause 'permanent damage to brain cells' scientists warn,m,3
Sarah Slocum of Google Glass fame reportedly caught up in previous privacy fight,t,1
JPMorgan Deserves To Be Down After Reporting Decreased Revenues,b,2
How Kate can avoid being the butt of jokes: Add weights to hems of her floaty  ...,e,0
Dodge Viper Time Attack Spotted in the Wild,t,1
"Kim Kardashian's Met Ball Beauty — Sleek, Silky Hair",e,0
Jennifer Love Hewitt Returning to CBS,e,0
'Teenage Mutant Ninja Turtles' reboot set to hit theatres,e,0
Doctors: Headbanging caused brain bleed in Motorhead fan,m,3
is fellow scientologist laura prepon tom cruise s new girl,e,0
Microsoft Surface Pro 3 vs. 2014 MacBook Air (11-in),t,1
New brain protein tied to Alzheimer's,m,3
Federal authorities cite 5 companies in New Jersey worker's death at Amazon  ...,m,3
Xbox One launching in China this September,t,1
Tesla expects to boost 2015 output to more than 60000,t,1
"Moto G GPE Gets Updated Straight From 4.4.2 To 4.4.4, OTA Available For  ...",t,1
MLB Throws Bean Ball At FCC's 'Commercially Reasonable' Regime,t,1
"ABBA celebrate 40 years since breakthrough with party, no regrets",e,0
Samsung's budget 4K monitor is selling for $700,t,1
Gillnetters cited among worst for accidental fish kills,t,1
"Amid Concerns Over Netflix, FCC to Examine Peering Deals",t,1
They survived ice ages while other life did not. Here's why,t,1
Google developing health data service: report,t,1
The US Gives Up Its Control of the Free-Speech Internet,t,1
"This week in entertainment: Yes comes to Atlantic City, 'Captain America; The  ...",e,0
Adam Levine Goes Through His Darkest Times In 'Maps' Video,e,0
Survival of the Fit with “Google Health”,t,1
"London close: FTSE slides as Fed minutes draw nearer, airlines dive",b,2
More Sunshine: CMS Wants Companies To Report Payments To Physicians For  ...,m,3
Molly Smitten-Downes is this year's Eurovision entry for the UK,e,0
Harris jailed for sex assaults,e,0
U.S. Jobless Claims Edge Down,b,2
SPECIAL REPORT - Adults with autism in the Harrogate district,m,3
Russia Ordered to Pay $50 Billion in Yukos Case,b,2
MLB loosens rules on pink gear for Mother's Day,m,3
Dow hits new record Friday,b,2
Healthy lifestyle changes can lower heart disease risk in adults,m,3
Study links autism to pesticides,m,3
Bayer buying Merck consumer products business for $14.2 billion,b,2
HTC's nine-inch Nexus tablet leaks,t,1
Breaking news,b,2
"GAME OF THRONES S4, E05; ""First Of His Name"" - New Featurettes",e,0
ADM Buys Wild Flavors for $3 Billion to Boost Ingredients,b,2
Lufthansa cancels 3800 flights due to strike,b,2
Microsoft offers $100-discount on new PCs to shift users from Windows XP,t,1
Mosquito-borne virus making its way into the US,m,3
HBO GO hit over an hour of downtime due to demand for True Detective finale,e,0
'Draft Day' finds a way to score (B+),e,0
Polio-free Nepal mulls wider quarantine,m,3
Xbox One owners prepare for Titanfall at midnight,t,1
"Stop filing smartphone lawsuits, says EU",t,1
Microsoft CEO Satya Nadella Searches for the Next 3.5 Things,t,1
Exact Sciences: Announces FDA advisory committee unanimously recommends  ...,m,3
"Teen pregnancy declining, cost still high for Oklahomans",m,3
Reading Aloud Important for Infants,m,3
"'Rio 2' a colorful, musical adventure",e,0
Malaysia Airlines considers changing name and rebranding after MH17 and  ...,b,2
US court refuse to revive Samsung patent case against Apple,t,1
New-look Power Rangers film announced,e,0
Apple's iPad with Retina display now starting at $399,t,1
BB&T Bank Current Mortgage Rates After the Weekend,b,2
"Love gesture unmasks XSS vulnerability, Twitter's stale Web security",t,1
iPhone 6 vs HTC One M8: 2014's Most Exciting Prospects...,t,1
Khloe Kardashian redecorates home she bought from Justin Bieber,e,0
"If You Use TweetDeck, You Should Change Your Password Right Now",t,1
Facebook Wars: FNC's Megyn Kelly Vs. NBC's Matt Lauer,e,0
"Forget snakes, beware of bacteria on a plane!",m,3
Insane Clown Posse's Suit Against FBI Dismissed,e,0
New Study Shows Flu Vaccine Reduced Children's Risk of Intensive Care Unit  ...,m,3
Pilgrim's Pride Makes Bid for Hillshire Brands,b,2
We'll do everything to keep reputation of reliable supplier to Europe – Gazprom  ...,b,2
Mental health cases rise in Northern Region,m,3
Apple stock split increase,t,1
"The search for missing Flight MH370 will continue today, weather permitting.",b,2
Most U. S. citizens support mandated coverage of birth control,m,3
All The Best Vines From The BET Awards 2014,e,0
"Wasserman Schultz, Hastings mark June as lesbian, gay pride month",t,1
Sony Xperia Z2 Tablet US release date and price,t,1
Nationwide 2014 County Health Rankings show the health of Minnesota  ...,m,3
Larger iPhone Expected to Spark Massive Upgrade Cycle [Chart],t,1
"Teen Abortion Rate Drops to Historic Low, Down 66% Since 1988",m,3
Dinos fit middle of metabolic continuum: Research,t,1
U.N.: Blacks in U.S. bear disproportionate burden of HIV,m,3
Three things to expect from Thursday's Comcast-TWC merger hearing,b,2
Amazon Takes On Apple With 'Fire' Smartphone,t,1
Boston Mom Gives Birth To 14.5 Pound Baby! See The Insanely Squishy Cheeks  ...,m,3
The Voice: Which Coach Has the Most Number 1 Singles?,e,0
US recommends aspirin for some pregnant women,m,3
"CBO: Deficit is Down, But Debt Remains High",b,2
Mysterious illness sickens 84 swimmers in Kitsap County lake,m,3
10+ New Features Coming to AdWords: What You Need To Know,t,1
Liberia: Ellen - You Will Be Prosecuted If,m,3
West Africa braces for more Ebola cases (VIDEO),m,3
"Good news, bad news for NW Kansas in latest health rankings",m,3
Apple faced more patent lawsuits than any other company in 2013: Report,t,1
Matt Lauer extends 'Today' show contract with NBC for a few more years,e,0
"Microsoft sets no-contract Lumia 635 price: $99 with AT&T, $129 on T-Mobile",t,1
What Really Makes Lupita Nyong'o the Most Beautiful Person?,e,0
Say what? Gwyneth Paltrow's 'unconscious uncoupling' the latest Hollywood  ...,e,0
BP warn against further Russia sanctions,b,2
U of A Researcher Gets Green Light To Test Medical Marijuana On PTSD Patients,m,3
"Beats, Lebron James Unveil Wireless Sports Earphones",t,1
Viral: 2-year-old takes first steps with prosthetics,m,3
Will Alibaba's IPO prove to be a lose-lose for other technology offerings?,b,2
Scholastic teams up with Netflix on new kids show,e,0
US growth surges on spree by consumers,b,2
NYS Senate Health Committee Holding Hearing on E-Cigarettes and E-Liquids,m,3
China signs 30-year deal for Russian natural gas,b,2
Live: Bank of Japan's Kuroda Speaks,b,2
CDC report finds child autism increasing,m,3
Supercombos and 'Big Slabs:' Nine unhealthiest restaurant meals,m,3
Hess to sell gasoline stations to Marathon for $2.6 billion,b,2
Ciara shares the first pic of new born Future!!!,e,0
US to cede control of internet address system,t,1
Canadian Class Actions Launched Regarding General Motors Ignition Switch  ...,t,1
"AT&T, T-Mobile to begin taking orders for new Samsung Galaxy phone",t,1
Photo: Contributed - Gary Walters,t,1
Unions Warn Obama on Walmart Visit,b,2
What Does USDA Have “Up Their Sleeve” for Soybeans?,b,2
Chikungunya arrives in Florida,m,3
Guinea Ebola Outbreak Claims the Lives of 63 People: Deadly Virus Spreads,m,3
Saudi Arabia sees 11 new MERS cases as virus sweeps to Mecca,m,3
Exelon to buy Pepco in all-cash $6.83 billion deal,b,2
Effects of childhood bullying visible even in 50s,m,3
Upbeat China PMI Boosts Asian Equities,b,2
Texas girl has surgery to stop rapid weight gain due to rare medical condition,m,3
"China Determined on Peace, Stability in South China Sea",b,2
"FDA Approves Biogen Idec's ALPROLIX™, the First Hemophilia B Therapy to  ...",m,3
"Luke, FDA Has OKed Your 'Skywalker' Arm",m,3
Search ruling stirs freedom debate,t,1
'Orphan Black': Tatiana Maslany says to get ready for a 'high octane' season 2,e,0
New York's September 11 Memorial Museum readies for its close-up,e,0
"Amazon Launches 3D ""Fire"" Phone",b,2
California experiencing a whooping cough epidemic; more than 800 cases  ...,m,3
Relay For Life raises $52000,m,3
How I Met Your Mother: Cristin Milioti Lied to the Hollywood Reporter About Ending,e,0
More Chikungunya Virus Cases Showing up in US,m,3
Microsoft warns of Internet Explorer security gap (w/video),t,1
Banks' Split With Fed on Stress Test Seen Risking Payouts,b,2
GM sales jumped in May as automaker weathers recall scandal,t,1
Diane Sawyer to Leave ABC's World News,e,0
Group Cites Comic-Con for Chronic Sexual Harassment,e,0
The Voice 6.10 Recap: Head-to-Head Battles Continue,e,0
Pfizer's Ian Read: slow and steady wins the day,b,2
Low-dose aspirin may halve the risk of pancreatic cancer,m,3
"Ice Cube: Ride Along Was ""Robbed"" at MTV Movie Awards By Paul Walker  ...",e,0
"Research Analysts' Upgrades for April, 21st (AAN, COF, COS, CSGP, DYNIQ  ...",t,1
No DNA evidence for Yetis - but polar bears 'found in India',t,1
AOL Stock Heads Lower After Earnings Miss,b,2
Stephen Colbert Reacts To #CancelColbert,e,0
Soyuz rendezvous aborted after successful launch,t,1
Mental Illness Like Depression as Fatal as Smoking: Study,m,3
Massachusetts gets more than $40 million in Citigroup settlement,b,2
Beloved The Brady Bunch star Ann B. Davis dies,e,0
"China accuses US of 'hypocrisy, double standards' on cybercrime",b,2
YouTube will support 60fps HD videos,t,1
Microsoft admits spying on Russian blogger's Hotmail account,t,1
World Drug Report 2014: Illicit Narcotics Kill 200000 a Year as Cannabis Use  ...,m,3
1 dead from ebola in Sierra Leone,m,3
"As World Cup Kicks Off, Can Brazil Keep Lights On and Mosquitoes Out?",m,3
IPCC report points to 'renewables solution',t,1
National 'Click It or Ticket' campaign kicks off,t,1
